track_id;popularity;track_name;duration
3zIqekohxiaS4HF79pxHzt;56;Hello, Hi;135996
6zTuzIwC6fLeDm35FFMJVv;5;start all over;205511
1mW9XrT9XdnsDPuthSgusZ;46;JRJRJR;268803
76LZ3g7Kc8o9g2qh8fYPvv;34;This Time Around;231800
1SqdwayfShRMtXk5YcVPiP;22;Death Spells;286315
2Lw2oix2hvPOMwgyDObq66;49;Party People;194475
3aSWXU6owkZeVhh94XxEWO;85;30 For 30 (with Kendrick Lamar);278277
1OSOHTBFkIkhUtxhOyUksc;62;PIToRRO DE COCO;206627
0mt0tRbBHOoWDFH60iFFH1;22;Windows;249720
6IBD81r5jQxyUD40RPzpQF;49;Everyday;220183
0aM3JqPACJTpIoyOALODiZ;20;Shandy in the Graveyard;177708
6qEhqLzsiYzipyTdOR0YKe;40;Taking Inventory Of A Frozen Lake;257084
1pMeprs7u5KBFvyqS4b9Sj;19;EuroMillions;139462
7ggzbRpEY7hHkBP7z9Oxvo;22;Tendrils;246853
03q42wfmoXx8bYHwEuzBGh;20;Pink Dreads;120412
5GZ0currErGJhl0G0yxgRg;64;Dum, Dumb, and Dumber (with Young Thug & Future);227400
21voEC3YgeU5SgNDiwMdt1;0;True Music;131393
1g7pFO1WtclKCuIQiS8sNM;77;Crybaby;241948
2EJu0i7yLx7wfdPQmt97FQ;16;Colorblind (Player Side) [feat. Smoke Chapo];147743
1hnCedLOQd3hGlV0RbDBUS;16;SUSPECTS;217153
34sccCOoMvKmD6k67TsTbB;35;Thor;101803
4I67eSiBu1uekf8yYnJi7K;45;Someone Who Can;225125
2qcXDpEzi89CMgxPXAiiI8;32;Blackhole;200800
6rTgjvKEp1SABOBebNsLkm;36;take me by the hand;171570
2SLKZwtulCfTNOARLGhuug;12;Set The Pace;215909
0TesiDBRH4ZOatQf4OMuHA;37;Afraid;160573
0Awd63hxTujXqf6TS87JAa;6;To the Core;200000
4p1RfrvGcI1KhXL9hWKELN;31;Barracuda;179119
5CZVAq0vKiE7iVeJbjLl67;43;Nothing Tastes As Good As It Feels;176866
7GEGSpjoraxIjBixahlNGq;35;Mau Moko;225252
5N66ReNy94acDJP6CIcgBG;32;With u;140000
0AhGvGEGReufQjUf1F63H7;26;Extraordinary Wings;306286
1ASUVRxADu66bSIKV9XN9r;47;Bovine Excision;173177
7KNEAvPkNwQu4QBB61ndq8;24;Deadlines;185613
3KKgMnh9RhDqiUivWyhoJA;26;Madison;188874
54k6mnmbMRJ25Z2AY4C32F;19;Infinity Peaking;341426
68XQUzPx5J3irT3WzUpJRp;44;LIE DOWN..;309381
64tQHXWvXt6K67DE5HNvUi;7;Vauxhall;202200
2WGOTUuDEW2NxuJVFWvmcB;58;Everything Changes (But I Won't);231821
5emD8K39MmotlCLOx9qzCH;73;GBP (feat. 21 Savage);154800
1D4wP2P16amoaTKWLh5y5H;31;Mourning Song;244500
